회사명,설립일,대표자명,업종,재무정보,기업주소
(주)에스에프에이,1998년 12월 18일                                (업력 27년차),김영민,그 외 기타 특수목적용 기계 제조업,-,경기 화성시 동탄순환대로29길 25
(주)파이오링크,2000년 07월 26일                                (업력 25년차),조영철,유선 통신장비 제조업,-,"서울 금천구 가산디지털2로 98, 1동 401호"
(주)차이커뮤니케이션,2004년 06월 22일                                (업력 21년차),최영섭,광고 대행업,-,"서울 강남구 학동로43길 6, (221비 에비뉴)"
(주)코스모진텍,2000년 05월 15일                                (업력 25년차),이영준,생물학적 제제 제조업,매출액 112.4억 영업이익 6억 (2023년 기준) 전체),"서울 성동구 성수이로10길 14, 3층 304호-311호 (성수동2가,에이스하이엔드성수타워)"
모트렉스(주),2001년 09월 26일                                (업력 24년차),이형환,그 외 자동차용 신품 부품 제조업,-,"경기 성남시 수정구 금토로80번길 56, 1301호 (금토동,위든타워)"
(주)노바렉스,2008년 11월 27일                                (업력 17년차),권석형,건강기능식품 제조업,-,충북 청주시 흥덕구 오송읍 오송생명14로 80
(의)녹십자의료재단,1991년 07월 16일                                (업력 34년차),김상만,일반 병원,"매출액 3,586.7억 영업이익 - 44.1억 (2023년 기준) 전체)",경기 용인시 기흥구 보정동 314번지
(주)로보티즈,1999년 03월 25일                                (업력 26년차),김병수,그 외 기타 특수목적용 기계 제조업,-,서울 강서구 마곡중앙5로1길 37
(주)포니링크,2000년 04월 06일                                (업력 25년차),황정일/남경필,기타 의복 소매업,-,서울 영등포구 영등포로 272
(주)쎄크,2000년 03월 22일                                (업력 25년차),김종현,방사선 장치 제조업,매출액 503.7억 영업이익 6억 (2023년 기준) 전체),경기 수원시 권선구 산업로155번길 111
(주)코스콤,1977년 09월 20일                                (업력 48년차),윤창현,자료 처리업,"매출액 3,919.8억 영업이익 221.9억 (2023년 기준) 전체)","서울 영등포구 여의나루로4길 21 (여의도동,코스콤본사빌딩)"
(주)헥토파이낸셜,2000년 10월 09일                                (업력 25년차),최종원,그 외 기타 정보 서비스업,-,"서울 강남구 테헤란로34길 6, 9,10층"
