"회사명","제목","공고링크","지역","마감일","가까운역"
"(주)퍼스트인","[(주)퍼스트인] 경인지사 잡매니저 공개채용","https://www.saramin.co.krundefined","인천 미추홀구","D-4","1인천2주안역 도보 4분 이내"
"(주)매쓰홀릭","[AI수학 매쓰홀릭] 고객지원 업무 함께 하실 동료를 모십니다.","https://www.saramin.co.krundefined","서울 서초구","~12.28(토)","2신분당강남역 도보 7분 이내"
"베스핀글로벌(주)","Cloud SA 담당자 영입(SRE 1팀)","https://www.saramin.co.krundefined","서울 서초구","채용시","2신분당강남역 도보 12분 이내"
"(주)원팀운수","배차관리 , 인원관리 담당자 모집","https://www.saramin.co.krundefined","서울 송파구","~02.09(일)","89석촌역 도보 4분 이내"
"젠지이스포츠글로벌아카데미(유)","[젠지글로벌아카데미]영업·세일즈(Sales) 집중 채용(사원/인턴)","https://www.saramin.co.krundefined","서울 강남구","채용시","9수인분당선정릉역 도보 1분 이내"
"(주)에반스에듀","2025 NMD교육 - 코넬수학전문학원 모집 (전임강사/행정사원)","https://www.saramin.co.krundefined","대구 북구","~01.17(금)","3팔거역 도보 12분 이내"
"베스핀글로벌(주)","RAG 담당자 영입","https://www.saramin.co.krundefined","서울 서초구","~01.02(목)","2신분당강남역 도보 12분 이내"
"(주)에듀올","[등촌 리틀팍스어학원]영어유치. 초등 교사 모집 공고- 경력","https://www.saramin.co.krundefined","서울 강서구","~01.17(금)","5발산역 도보 12분 이내"
"쿠팡(주)","[쿠팡페이] CS교육 및 QA 담당자","https://www.saramin.co.krundefined","서울 송파구","채용시","28잠실역 도보 4분 이내"
"(주)케이웨이컴퍼니","브랜드 온라인MD 모집","https://www.saramin.co.krundefined","서울 강남구","상시채용","9봉은사역 도보 4분 이내"
"자이로소프트(주)","웹 개발자 채용 [경력직/프리랜서, 근무지 KINTEX(일산)]","https://www.saramin.co.krundefined","경기 고양시 일산서구","~01.10(금)","3대화역 도보 15분 이내"
